label,cleaned_text
neutral,game fine basic use nothing add
negative,watch awful nothing like advertised
neutral,phone case match description complaint praise
negative,im furious app customer service help either
positive,camera wonderful exactly hoping
positive,superb service worth every penny
positive,superb shoe worth every penny
neutral,product okay say nothing
positive,great movie fast delivery excellent quality overall
positive,im impressed product quality outstanding
positive,blender wonderful exactly hoping
negative,disappointing tv show regret buying
neutral,regular shoe use occasionally
negative,terrible book broke two day use
negative,backpack stopped working almost immediately frustrating
neutral,laptop match description complaint praise
positive,blender made day pure joy using every time
positive,blender wonderful exactly hoping
neutral,regular blender use occasionally
neutral,backpack came plain packaging function normally
positive,absolutely loved camera exceeded every expectation
negative,im furious laptop customer service help either
negative,terrible camera broke two day use
neutral,regular movie use occasionally
neutral,regular service use occasionally
negative,worst backpack ever purchased disappointed
positive,movie fantastic work perfectly look amazing
negative,shoe horrible save money avoid
positive,tv show made day pure joy using every time
positive,superb camera worth every penny
neutral,coffee maker fine basic use nothing add
negative,disappointing camera regret buying
neutral,average hotel stay neither good bad experience
neutral,average backpack neither good bad experience
neutral,restaurant okay say nothing
negative,disappointing camera regret buying
neutral,tv show fine basic use nothing add
negative,poor quality service feel cheap flimsy
positive,laptop fantastic work perfectly look amazing
positive,restaurant fantastic work perfectly look amazing
neutral,average phone case neither good bad experience
negative,im furious game customer service help either
negative,im furious backpack customer service help either
negative,worst game ever purchased disappointed
positive,absolutely loved movie exceeded every expectation
positive,absolutely loved book exceeded every expectation
negative,worst backpack ever purchased disappointed
positive,restaurant wonderful exactly hoping
negative,terrible tv show broke two day use
neutral,regular tv show use occasionally
positive,blender fantastic work perfectly look amazing
neutral,app fine basic use nothing add
positive,great book fast delivery excellent quality overall
neutral,blender match description complaint praise
neutral,book fine basic use nothing add
negative,worst coffee maker ever purchased disappointed
positive,best movie ive bought year highly recommend everyone
negative,coffee maker horrible save money avoid
positive,phone case made day pure joy using every time
positive,great phone case fast delivery excellent quality overall
neutral,received hotel stay yesterday still testing
positive,shoe wonderful exactly hoping
negative,disappointing shoe regret buying
negative,terrible tv show broke two day use
neutral,standard service similar others price range
negative,phone case stopped working almost immediately frustrating
negative,restaurant awful nothing like advertised
negative,poor quality game feel cheap flimsy
negative,disappointing product regret buying
positive,hotel stay wonderful exactly hoping
positive,great backpack fast delivery excellent quality overall
neutral,standard shoe similar others price range
negative,tv show awful nothing like advertised
neutral,regular shoe use occasionally
neutral,coffee maker match description complaint praise
neutral,phone case arrived time nothing special report
positive,shoe fantastic work perfectly look amazing
negative,really bad experience restaurant would recommend
neutral,standard headphone similar others price range
neutral,average book neither good bad experience
neutral,headphone work expected strong feeling either way
positive,really happy tv show five star way
neutral,watch arrived time nothing special report
negative,really bad experience backpack would recommend
positive,really happy headphone five star way
negative,camera horrible save money avoid
negative,tv show horrible save money avoid
neutral,regular app use occasionally
negative,poor quality blender feel cheap flimsy
positive,best camera ive bought year highly recommend everyone
positive,im impressed shoe quality outstanding
neutral,standard phone case similar others price range
negative,backpack horrible save money avoid
positive,superb restaurant worth every penny
positive,really happy service five star way
negative,blender stopped working almost immediately frustrating
negative,terrible tv show broke two day use
positive,coffee maker wonderful exactly hoping
neutral,restaurant fine basic use nothing add
negative,watch awful nothing like advertised
negative,terrible coffee maker broke two day use
positive,really happy book five star way
positive,great laptop fast delivery excellent quality overall
negative,poor quality camera feel cheap flimsy
neutral,standard product similar others price range
negative,movie stopped working almost immediately frustrating
negative,hated app complete waste money
negative,hotel stay awful nothing like advertised
positive,great book fast delivery excellent quality overall
negative,camera horrible save money avoid
positive,tv show made day pure joy using every time
neutral,laptop fine basic use nothing add
positive,superb game worth every penny
negative,service horrible save money avoid
negative,really bad experience shoe would recommend
negative,blender stopped working almost immediately frustrating
neutral,regular tv show use occasionally
positive,im impressed camera quality outstanding
neutral,phone case work expected strong feeling either way
negative,worst tv show ever purchased disappointed
positive,im impressed tv show quality outstanding
negative,backpack horrible save money avoid
neutral,average laptop neither good bad experience
positive,really happy headphone five star way
negative,terrible movie broke two day use
positive,absolutely loved coffee maker exceeded every expectation
positive,really happy game five star way
neutral,restaurant fine basic use nothing add
neutral,restaurant fine basic use nothing add
neutral,received blender yesterday still testing
neutral,regular shoe use occasionally
neutral,regular laptop use occasionally
neutral,shoe fine basic use nothing add
neutral,average headphone neither good bad experience
positive,headphone wonderful exactly hoping
neutral,restaurant fine basic use nothing add
positive,amazing laptop cant stop telling friend
negative,poor quality backpack feel cheap flimsy
neutral,camera okay say nothing
neutral,tv show came plain packaging function normally
negative,terrible blender broke two day use
positive,absolutely loved tv show exceeded every expectation
neutral,phone case came plain packaging function normally
negative,worst blender ever purchased disappointed
neutral,book okay say nothing
negative,backpack horrible save money avoid
negative,worst backpack ever purchased disappointed
negative,terrible service broke two day use
positive,superb movie worth every penny
negative,watch awful nothing like advertised
positive,movie fantastic work perfectly look amazing
negative,im furious blender customer service help either
neutral,movie okay say nothing
positive,tv show fantastic work perfectly look amazing
positive,superb movie worth every penny
neutral,headphone okay say nothing
neutral,coffee maker okay say nothing
negative,terrible headphone broke two day use
neutral,backpack arrived time nothing special report
positive,hotel stay wonderful exactly hoping
positive,great camera fast delivery excellent quality overall
neutral,service match description complaint praise
positive,absolutely loved book exceeded every expectation
positive,superb hotel stay worth every penny
negative,book awful nothing like advertised
positive,best app ive bought year highly recommend everyone
neutral,laptop fine basic use nothing add
neutral,restaurant came plain packaging function normally
positive,im impressed movie quality outstanding
neutral,movie arrived time nothing special report
positive,best phone case ive bought year highly recommend everyone
negative,app stopped working almost immediately frustrating
positive,great service fast delivery excellent quality overall
positive,im impressed blender quality outstanding
positive,book wonderful exactly hoping
negative,product stopped working almost immediately frustrating
positive,absolutely loved laptop exceeded every expectation
positive,im impressed backpack quality outstanding
negative,hotel stay horrible save money avoid
positive,service wonderful exactly hoping
neutral,shoe match description complaint praise
neutral,book match description complaint praise
neutral,headphone fine basic use nothing add
neutral,regular camera use occasionally
neutral,standard watch similar others price range
negative,really bad experience app would recommend
negative,poor quality backpack feel cheap flimsy
negative,worst restaurant ever purchased disappointed
negative,book stopped working almost immediately frustrating
positive,im impressed blender quality outstanding
positive,superb headphone worth every penny
neutral,restaurant came plain packaging function normally
negative,really bad experience laptop would recommend
negative,really bad experience game would recommend
negative,app stopped working almost immediately frustrating
neutral,tv show match description complaint praise
negative,product stopped working almost immediately frustrating
negative,poor quality laptop feel cheap flimsy
negative,really bad experience coffee maker would recommend
neutral,received coffee maker yesterday still testing
neutral,headphone came plain packaging function normally
positive,im impressed book quality outstanding
neutral,app match description complaint praise
positive,great service fast delivery excellent quality overall
negative,really bad experience tv show would recommend
neutral,movie work expected strong feeling either way
negative,im furious book customer service help either
negative,terrible backpack broke two day use
positive,service made day pure joy using every time
negative,really bad experience product would recommend
positive,amazing camera cant stop telling friend
positive,superb camera worth every penny
positive,service made day pure joy using every time
positive,absolutely loved hotel stay exceeded every expectation
positive,superb product worth every penny
positive,absolutely loved hotel stay exceeded every expectation
positive,absolutely loved phone case exceeded every expectation
negative,hated backpack complete waste money
neutral,shoe work expected strong feeling either way
neutral,app work expected strong feeling either way
neutral,game fine basic use nothing add
negative,app awful nothing like advertised
positive,really happy laptop five star way
neutral,laptop arrived time nothing special report
neutral,watch arrived time nothing special report
negative,restaurant horrible save money avoid
positive,camera fantastic work perfectly look amazing
negative,poor quality camera feel cheap flimsy
negative,im furious coffee maker customer service help either
neutral,backpack match description complaint praise
negative,game awful nothing like advertised
negative,im furious watch customer service help either
neutral,regular service use occasionally
neutral,movie arrived time nothing special report
neutral,average restaurant neither good bad experience
negative,tv show stopped working almost immediately frustrating
negative,terrible watch broke two day use
positive,great movie fast delivery excellent quality overall
positive,im impressed coffee maker quality outstanding
neutral,regular camera use occasionally
negative,tv show awful nothing like advertised
neutral,hotel stay match description complaint praise
neutral,received shoe yesterday still testing
positive,im impressed headphone quality outstanding
neutral,standard book similar others price range
negative,backpack awful nothing like advertised
positive,really happy coffee maker five star way
negative,really bad experience phone case would recommend
negative,phone case horrible save money avoid
positive,really happy headphone five star way
negative,im furious watch customer service help either
positive,best backpack ive bought year highly recommend everyone
positive,best app ive bought year highly recommend everyone
positive,really happy book five star way
neutral,average book neither good bad experience
positive,superb backpack worth every penny
neutral,camera okay say nothing
positive,great app fast delivery excellent quality overall
neutral,hotel stay came plain packaging function normally
negative,really bad experience game would recommend
negative,hated coffee maker complete waste money
positive,superb movie worth every penny
positive,im impressed app quality outstanding
negative,poor quality app feel cheap flimsy
negative,movie horrible save money avoid
positive,absolutely loved shoe exceeded every expectation
positive,superb game worth every penny
neutral,movie came plain packaging function normally
neutral,restaurant match description complaint praise
negative,worst shoe ever purchased disappointed
neutral,regular movie use occasionally
positive,great phone case fast delivery excellent quality overall
neutral,book match description complaint praise
negative,really bad experience blender would recommend
neutral,regular headphone use occasionally
positive,best watch ive bought year highly recommend everyone
negative,hated restaurant complete waste money
positive,really happy game five star way
positive,game made day pure joy using every time
negative,hated laptop complete waste money
neutral,regular blender use occasionally
positive,im impressed backpack quality outstanding
positive,best restaurant ive bought year highly recommend everyone
positive,great hotel stay fast delivery excellent quality overall
neutral,standard coffee maker similar others price range
negative,really bad experience movie would recommend
positive,im impressed product quality outstanding
positive,amazing blender cant stop telling friend
negative,worst watch ever purchased disappointed
positive,really happy blender five star way
positive,superb blender worth every penny
neutral,game okay say nothing
positive,really happy tv show five star way
neutral,average backpack neither good bad experience
positive,really happy restaurant five star way
neutral,laptop okay say nothing
positive,amazing laptop cant stop telling friend
negative,disappointing camera regret buying
negative,restaurant awful nothing like advertised
negative,hated watch complete waste money
negative,terrible shoe broke two day use
negative,really bad experience blender would recommend
neutral,standard service similar others price range
neutral,blender work expected strong feeling either way
neutral,headphone match description complaint praise
neutral,standard restaurant similar others price range
negative,hated laptop complete waste money
negative,service horrible save money avoid
positive,superb book worth every penny
positive,superb coffee maker worth every penny
negative,disappointing product regret buying
positive,best camera ive bought year highly recommend everyone
neutral,received service yesterday still testing
positive,headphone fantastic work perfectly look amazing
negative,hated product complete waste money
negative,really bad experience product would recommend
neutral,standard camera similar others price range
negative,hated service complete waste money
positive,tv show made day pure joy using every time
neutral,received hotel stay yesterday still testing
positive,tv show wonderful exactly hoping
negative,phone case horrible save money avoid
positive,really happy camera five star way
negative,hated coffee maker complete waste money
negative,really bad experience backpack would recommend
negative,disappointing app regret buying
neutral,standard restaurant similar others price range
positive,really happy shoe five star way
neutral,app fine basic use nothing add
neutral,app okay say nothing
positive,superb service worth every penny
neutral,standard blender similar others price range
positive,camera fantastic work perfectly look amazing
negative,worst shoe ever purchased disappointed
neutral,regular laptop use occasionally
neutral,restaurant arrived time nothing special report
neutral,watch came plain packaging function normally
positive,hotel stay made day pure joy using every time
negative,backpack horrible save money avoid
negative,terrible tv show broke two day use
negative,book awful nothing like advertised
negative,really bad experience headphone would recommend
neutral,received shoe yesterday still testing
neutral,restaurant okay say nothing
negative,really bad experience backpack would recommend
neutral,game okay say nothing
negative,really bad experience blender would recommend
negative,laptop horrible save money avoid
positive,camera made day pure joy using every time
positive,superb service worth every penny
positive,im impressed book quality outstanding
neutral,phone case came plain packaging function normally
positive,im impressed shoe quality outstanding
negative,really bad experience game would recommend
negative,poor quality laptop feel cheap flimsy
neutral,average tv show neither good bad experience
neutral,tv show came plain packaging function normally
neutral,tv show came plain packaging function normally
neutral,camera arrived time nothing special report
positive,blender fantastic work perfectly look amazing
positive,absolutely loved shoe exceeded every expectation
neutral,headphone match description complaint praise
positive,tv show fantastic work perfectly look amazing
positive,absolutely loved phone case exceeded every expectation
positive,really happy restaurant five star way
negative,im furious movie customer service help either
negative,terrible service broke two day use
negative,watch awful nothing like advertised
positive,im impressed game quality outstanding
positive,im impressed phone case quality outstanding
neutral,product okay say nothing
positive,really happy hotel stay five star way
neutral,movie match description complaint praise
neutral,standard tv show similar others price range
positive,hotel stay fantastic work perfectly look amazing
negative,disappointing service regret buying
negative,terrible camera broke two day use
neutral,regular headphone use occasionally
positive,really happy hotel stay five star way
negative,restaurant stopped working almost immediately frustrating
positive,best backpack ive bought year highly recommend everyone
negative,really bad experience watch would recommend
negative,shoe awful nothing like advertised
positive,coffee maker made day pure joy using every time
negative,coffee maker stopped working almost immediately frustrating
negative,poor quality tv show feel cheap flimsy
negative,coffee maker horrible save money avoid
neutral,average restaurant neither good bad experience
neutral,book fine basic use nothing add
neutral,average restaurant neither good bad experience
positive,im impressed hotel stay quality outstanding
neutral,service work expected strong feeling either way
positive,great service fast delivery excellent quality overall
neutral,standard watch similar others price range
positive,shoe fantastic work perfectly look amazing
neutral,average laptop neither good bad experience
neutral,game came plain packaging function normally
positive,blender fantastic work perfectly look amazing
negative,really bad experience tv show would recommend
neutral,average phone case neither good bad experience
negative,app awful nothing like advertised
negative,terrible hotel stay broke two day use
positive,great movie fast delivery excellent quality overall
neutral,laptop okay say nothing
negative,really bad experience laptop would recommend
negative,shoe awful nothing like advertised
negative,shoe stopped working almost immediately frustrating
negative,really bad experience product would recommend
negative,hated movie complete waste money
positive,great movie fast delivery excellent quality overall
negative,movie awful nothing like advertised
positive,restaurant fantastic work perfectly look amazing
positive,restaurant fantastic work perfectly look amazing
positive,great game fast delivery excellent quality overall
negative,terrible camera broke two day use
negative,hated app complete waste money
positive,superb blender worth every penny
positive,amazing product cant stop telling friend
positive,laptop wonderful exactly hoping
positive,great book fast delivery excellent quality overall
negative,disappointing movie regret buying
neutral,camera okay say nothing
negative,service stopped working almost immediately frustrating
negative,poor quality coffee maker feel cheap flimsy
positive,amazing phone case cant stop telling friend
positive,best tv show ive bought year highly recommend everyone
positive,great restaurant fast delivery excellent quality overall
neutral,backpack okay say nothing
negative,hated game complete waste money
neutral,standard app similar others price range
positive,im impressed shoe quality outstanding
positive,coffee maker wonderful exactly hoping
negative,disappointing tv show regret buying
positive,absolutely loved service exceeded every expectation
positive,im impressed restaurant quality outstanding
negative,poor quality laptop feel cheap flimsy
positive,best game ive bought year highly recommend everyone
neutral,coffee maker came plain packaging function normally
positive,product fantastic work perfectly look amazing
positive,absolutely loved app exceeded every expectation
negative,im furious book customer service help either
positive,restaurant fantastic work perfectly look amazing
negative,im furious headphone customer service help either
positive,backpack wonderful exactly hoping
neutral,book work expected strong feeling either way
negative,really bad experience phone case would recommend
neutral,average restaurant neither good bad experience
neutral,average product neither good bad experience
negative,im furious product customer service help either
neutral,restaurant okay say nothing
negative,worst headphone ever purchased disappointed
negative,worst game ever purchased disappointed
positive,absolutely loved book exceeded every expectation
positive,im impressed laptop quality outstanding
positive,service fantastic work perfectly look amazing
positive,great watch fast delivery excellent quality overall
neutral,backpack okay say nothing
positive,product wonderful exactly hoping
negative,poor quality camera feel cheap flimsy
negative,worst watch ever purchased disappointed
negative,laptop awful nothing like advertised
neutral,regular game use occasionally
neutral,shoe match description complaint praise
negative,terrible service broke two day use
neutral,average blender neither good bad experience
negative,poor quality movie feel cheap flimsy
positive,amazing app cant stop telling friend
positive,amazing camera cant stop telling friend
positive,best watch ive bought year highly recommend everyone
